listing_name,listing_url,listing_price,listing_shipping_price,listing_authenticity,listing_Seller,listing_Seller_rating,listing_color,listing_brand,listing_size,,mid,new,running,shoes,,,,retro,mens
adidas adizero adios 6 m boston size 10 mens running shoes blue white h67510,https://www.ebay.com/itm/353739870300?hash=item525c8a105c:g:8aYAAOSwXFhhc3p-,167.95,0.00,Authenticity Guarantee,leftcoastkickss,100.00%,Blue,adidas,10,,,,,,,,,,
adidas adizero adios 6 m boston size 11 mens running shoes blue white h67510,https://www.ebay.com/itm/353739871365?hash=item525c8a1485:g:8aYAAOSwXFhhc3p-,167.95,0.00,Authenticity Guarantee,leftcoastkickss,100.00%,White,adidas,11,,,,,,,,,,
adidas adizero adios 6 m boston size 12 mens running shoes blue white h67510,https://www.ebay.com/itm/353738240902?hash=item525c713386:g:8aYAAOSwXFhhc3p-,167.95,0.00,Authenticity Guarantee,leftcoastkickss,100.00%,White,adidas,12,,,,,,,,,,
adidas adizero adios pro 2.0 running sneakers blue fy4082 size 10,https://www.ebay.com/itm/373711530349?hash=item5702f1696d:g:TXwAAOSweHFhNkCS,230.00,11.00,Authenticity Guarantee,brhu5806,99.60%,Blue,adidas,10,,,,,,,,,,
adidas adizero ambition 4 track & field shoes white/black men size 7 b37483,https://www.ebay.com/itm/334140277705?hash=item4dcc5003c9:g:O9oAAOSwfN5hN9Sy,79.99,7.00,No Guarantee,jhocan1,100.00%,White,adidas,7,,,,,,,,,,
adidas adizero prime x men's size 9 running shoes blue green fz2476,https://www.ebay.com/itm/294441554517?hash=item448e159255:g:GPIAAOSwvQJhXOnu,319.97,0.00,Authenticity Guarantee,furtura,100.00%,Blue,adidas,9,,,,,,,,,,
adidas adizero pro running men's size 10 shoes solar yellow/core black fy0101,https://www.ebay.com/itm/154658429005?hash=item24025c584d:g:L9kAAOSwqRFhGwbJ,65.00,11.35,No Guarantee,danbor-47,94.10%,Black,adidas,10,,,,,,,,,,
adidas adizero pro running men's size 11 shoes solar yellow/core black fy0101,https://www.ebay.com/itm/194386349761?hash=item2d42544ec1:g:WbkAAOSwSDhhCy09,100.00,0.00,Authenticity Guarantee,jagopeter,99.70%,Black,adidas,11,,,,,,,,,,
adidas adizero pro running men's size 13 shoes solar yellow/core black fy0101,https://www.ebay.com/itm/194386357846?hash=item2d42546e56:g:WbkAAOSwSDhhCy09,100.00,0.00,Authenticity Guarantee,jagopeter,99.70%,Black,adidas,13,,,,,,,,,,
adidas adizero pro running shoes mens size 7 yellow/black fy0101,https://www.ebay.com/itm/294335698315?_trkparms=ispr%3D1&hash=item4487c6558b:g:~wsAAOSw5g5hFwYZ&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsShRHxq6A69bx76cdn9aiJ%252Fx9C7CeeIQZvtx1n%252BCjISBFjppK%252Bn6r2o3isSpeyKLq4m1By%252BSgGUvuG8B2R0e%252FXfhtWHjbaD1iL1422I3KuoVP3BtqMuOqTP%252BogJmER3pQXpGkJDfhEtZm1h%252Fx6GUmA578lFkLCyCt1TZVl4K815wYKr5xEn4EGFCxLzpcnnc4iSsPWxipm%252FL%252FPzcUw%252FcE6ALZjCS5fjXmRvCdrrLHshsPttVbXVMn8JCcNJYIG3QAZwwi2bulgMm5UGciRbUKhfY4JTHAB3lEbaEQIU9Oe%252B%252Btj%252F2ic0sNHeHLkKtMiow0%252F5Cz%252F5g%252Fj9wvS6d36YnYlHyFKmL5y2%252Bbi%252FMix1iGYZq%252FHqO%252BW1K9SSEXcuCmEfZPpWwYOXkA8OuUcQvd%252B9HvHhjM2DyEvuUXy4ToO%252FU%252FaAIJH84Xw7ZX57WDPsWLZOwiCBJnYj99cCbEHAEFio6Ho8%252B4dUarJn9XvpbZt9PGp0JQgtieozkcoi3mFJhdzUCUNf%252FiCT3YysqFji2doiS2utLdGbz1rKXH0owLC0xJj3I1zF%252FVXBtjUo0u%252Bx4WsFNqH2TttH8a5r8GlQvX2f4hTvmMNUH7kVsDYehEUhZwpioEqz088PtyxOAnwL6RIKZO7vxNdsuqnxEQecVhLA7PENxKvjCC1DbvHeSGsky1xFJGvA71bwxhuW%252FsUpYCeRRSFfFj8TBAfidkAL36XUJEEH%252FiZRjD7Ib6gragubAH9xtUGSEqwTMw%252FYihJgpecDcSZsKYDVQnBv1C7twZdfZJsIPVBvrgv7gXhdEqzXgu3qf%252FGZwtUT8X6m5GPmQbuXag7%7Campid%3APL_CLK%7Cclp%3A2499334,89.10,0.00,No Guarantee,shoestrong,99.90%,Black,adidas,7,,,,,,,,,,
adidas adizero pro running shoes mens size 9 solar yellow black fy0101,https://www.ebay.com/itm/234201727616?hash=item368782c280:g:0tgAAOSwGahhTTUG,103.49,0.00,Authenticity Guarantee,kickfanatic,99.90%,Black,adidas,9,,,,,,,,,,
adidas adizero pro size 9 men,https://www.ebay.com/itm/174894626766?hash=item28b88837ce:g:haAAAOSwBYxhGqgZ,65.00,10.15,No Guarantee,ruff-ryder00,100.00%,Red,adidas,9,,,,,,,,,,
adidas adizero pro 'solar yellow' men's size 11 running shoe core black fy0101,https://www.ebay.com/itm/184966528964?hash=item2b10dd3fc4:g:ezYAAOSwL3Fg~9sh,119.99,0.00,Authenticity Guarantee,cdg1991,100.00%,Black,adidas,11,,,,,,,,,,
